,white,black,white_elo,black_elo,result,nmoves,nstarting_move,pgn_base,temperature,random_engine,has_illegal,illegal_move,folder_name,pgn_base_moves,base_pgn_prompt
10,gpt-4,Stockfish,?,1785,0-1,72,1,It is your turn! You have white pieces. Please complete the chess game using PGN notation. 1.,0.0,False,False,,/app/games/gameb6f485fe-eeda-43bc-8905-d9a33df9206d,,False
11,gpt-3.5-turbo-instruct,Stockfish,?,1785,*,86,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.8,False,True,Kb3,/app/games/game7f1ea428-7829-4cc2-ba9f-7c27810e7db9,,True
12,text-davinci-003,Stockfish,?,1694,*,26,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.0,False,True,Nxg5,/app/games/game5e1bf114-7d25-4297-b3d2-7ba002494631,,True
13,gpt-3.5-turbo,Stockfish,?,1871,*,14,1,It is your turn! You have white pieces. Please complete the chess game using PGN notation. 1.,0.0,False,True,cxd6,/app/games/game9a01a28b-0b9b-4ac7-a27a-635ddcac67cb,,False
14,gpt-4,Stockfish,?,1871,1-0,257,1,It is your turn! You have white pieces. Please complete the chess game using PGN notation. 1.,0.0,False,False,,/app/games/gamed3688e27-72f1-413c-a7a5-87c6bed3b6a0,,False
15,Stockfish,gpt-3.5-turbo-instruct,1871,?,1-0,99,1,"[Event ""Chess tournament""]
[Site ""Rennes FRA""]
[Date ""2023.12.09""]
[Round ""7""]
[White ""MVL, Magnus""]
[Black ""Ivanchuk, Ian""]
[Result ""1-0""]
[WhiteElo ""2737""]
[BlackElo ""2612""]

1.",0.0,False,False,,/app/games/gameeec9a9a1-1b2b-4b11-9a84-80c783ee99dc,,False
16,gpt-3.5-turbo-instruct,Stockfish,?,1871,0-1,126,1,"[Event ""Chess tournament""]
[Site ""Rennes FRA""]
[Date ""2023.12.09""]
[Round ""7""]
[White ""MVL, Magnus""]
[Black ""Ivanchuk, Ian""]
[Result ""1-0""]
[WhiteElo ""2737""]
[BlackElo ""2612""]

1.",0.0,False,False,,/app/games/game6e936fc7-631e-47a3-9a6b-8042e83b47e3,,False
17,text-davinci-003,Stockfish,?,1694,*,40,1,"[Event ""Chess tournament""]
[Site ""Rennes FRA""]
[Date ""2023.12.09""]
[Round ""7""]
[White ""MVL, Magnus""]
[Black ""Ivanchuk, Ian""]
[Result ""1-0""]
[WhiteElo ""2737""]
[BlackElo ""2612""]

1.",0.0,False,True,c8=Q+,/app/games/game8056c9b7-99ad-4a28-a47b-3c7cb7ff8af9,,False
18,gpt-3.5-turbo-instruct,Stockfish,?,1871,*,30,1,"[Event ""Chess tournament""]
[Site ""Rennes FRA""]
[Date ""2023.12.09""]
[Round ""7""]
[White ""MVL, Magnus""]
[Black ""Ivanchuk, Ian""]
[Result ""1-0""]
[WhiteElo ""2737""]
[BlackElo ""2612""]

1.",0.0,False,True,bxc3,/app/games/game44815a7f-14ab-4be7-acf2-5b4dd20e3791,,False
19,Stockfish,gpt-3.5-turbo-instruct,1871,?,*,115,1,"[Event ""Chess tournament""]
[Site ""Rennes FRA""]
[Date ""2023.12.09""]
[Round ""7""]
[White ""MVL, Magnus""]
[Black ""Ivanchuk, Ian""]
[Result ""1-0""]
[WhiteElo ""2737""]
[BlackElo ""2612""]

1.",0.0,False,True,1-0,/app/games/gamea1aff8a3-92f2-46f9-9166-6139ce76d14c,,False
20,gpt-3.5-turbo-instruct,Stockfish,?,1871,0-1,40,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.0,False,False,,/app/games/gamef1df30a8-b60b-4bae-b1cf-d5a7bede0977,,True
21,Stockfish,gpt-3.5-turbo-instruct,1871,?,1-0,93,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.0,False,False,,/app/games/game838ac520-70f9-4625-b018-11c588a8c735,,True
22,Stockfish,gpt-3.5-turbo-instruct,1871,?,1-0,71,1,"[Event ""Chess tournament""]
[Site ""Rennes FRA""]
[Date ""2023.12.09""]
[Round ""7""]
[White ""MVL, Magnus""]
[Black ""Ivanchuk, Ian""]
[Result ""1-0""]
[WhiteElo ""2737""]
[BlackElo ""2612""]

1.",0.0,False,False,,/app/games/gamecec770ba-d719-4641-a933-5aa0564f9b89,,False
23,Stockfish,gpt-3.5-turbo-instruct,1871,?,0-1,64,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.0,False,False,,/app/games/gameb4fab701-1b8e-496a-b72c-8a980876f369,,True
24,gpt-3.5-turbo-instruct,Stockfish,?,1694,1-0,87,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.0,False,False,,/app/games/game8bf31f43-f85a-43f6-a63a-74813810136c,,True
25,Stockfish,gpt-3.5-turbo-instruct,1871,?,1/2-1/2,106,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.0,False,False,,/app/games/game99371010-b5af-48d4-adbc-4fcfda798304,,True
26,gpt-4,RANDOM chess engine,?,?,*,30,1,It is your turn! You have white pieces. Please complete the chess game using PGN notation. 1.,0.0,True,True,Qh5,/app/games/game1932a9b8-216b-4815-9011-6977debf64b9,,False
27,Stockfish,gpt-4,1871,?,*,87,1,It is your turn! You have white pieces. Please complete the chess game using PGN notation. 1.,0.0,False,True,Rd1+,/app/games/game65cb39f6-e6c6-4625-98ce-3ada2dceba6e,,False
28,Stockfish,gpt-3.5-turbo-instruct,1871,?,0-1,116,1,"[Event ""Chess tournament""]
[Site ""Rennes FRA""]
[Date ""2023.12.09""]
[Round ""7""]
[White ""MVL, Magnus""]
[Black ""Ivanchuk, Ian""]
[Result ""1-0""]
[WhiteElo ""2737""]
[BlackElo ""2612""]

1.",0.0,False,False,,/app/games/gamec75f06b3-8d5b-4440-9313-8287a47fb216,,False
29,gpt-3.5-turbo-instruct,Stockfish,?,1871,0-1,144,1,"[Event ""Chess tournament""]
[Site ""Rennes FRA""]
[Date ""2023.12.09""]
[Round ""7""]
[White ""MVL, Magnus""]
[Black ""Ivanchuk, Ian""]
[Result ""1-0""]
[WhiteElo ""2737""]
[BlackElo ""2612""]

1.",0.0,False,False,,/app/games/game3424a3f6-87ad-4075-9044-6737d36059dc,,False
30,gpt-3.5-turbo-instruct,Stockfish,?,1785,0-1,62,11,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1. c4 g6 2. Nc3 Na6 3. Qa4 Rb8 4. f4 c5 5. Rb1 Bh6 6. Qb5 Bg7 7. h3 Qa5 8. Nd1 Nb4 9. Nc3 Qa3 10. e3 Nc2+ 11.",0.0,False,False,,/app/games/game954522d9-15c7-4e58-afeb-184104f68b5b,1. c4 g6 2. Nc3 Na6 3. Qa4 Rb8 4. f4 c5 5. Rb1 Bh6 6. Qb5 Bg7 7. h3 Qa5 8. Nd1 Nb4 9. Nc3 Qa3 10. e3 Nc2+,True
31,Stockfish,gpt-4,1871,?,1-0,29,1,It is your turn! You have white pieces. Please complete the chess game using PGN notation. 1.,0.0,False,False,,/app/games/game23673434-9cd5-4ac6-939b-fcbda3e1c011,,False
32,gpt-3.5-turbo-instruct,Stockfish,?,1694,0-1,110,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.8,False,False,,/app/games/gamebc9281cd-60f1-4e2f-8a8c-8d50350db0e6,,True
33,gpt-3.5-turbo-instruct,Stockfish,?,1871,0-1,156,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.8,False,False,,/app/games/game4d697def-c1e9-4399-8166-d85505454c26,,True
34,gpt-3.5-turbo-instruct,Stockfish,?,1785,0-1,76,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.0,False,False,,/app/games/gamee1ed0d7f-c1b8-4b50-8344-e836bf238f57,,True
35,gpt-3.5-turbo-instruct,Stockfish,?,1785,1/2-1/2,118,11,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1. Na3 g6 2. h3 f5 3. d4 f4 4. Nb1 Nc6 5. Na3 e6 6. Qd3 Bc5 7. Nf3 Be7 8. Rh2 Bh4 9. c3 a5 10. e3 Rb8 11.",0.0,False,False,,/app/games/game610badd9-5bcf-41ce-9095-7d60a609ec2f,1. Na3 g6 2. h3 f5 3. d4 f4 4. Nb1 Nc6 5. Na3 e6 6. Qd3 Bc5 7. Nf3 Be7 8. Rh2 Bh4 9. c3 a5 10. e3 Rb8,True
36,gpt-3.5-turbo-instruct,Stockfish,?,2035,0-1,100,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.0,False,False,,/app/games/game67b3f49b-e798-4626-ad84-ba79ce541a5d,,True
37,Stockfish,gpt-3.5-turbo-instruct,1785,?,*,41,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.8,False,True,Qa7,/app/games/game359d97d4-0d8b-4494-9623-6ee8aad6f27b,,True
38,gpt-3.5-turbo-instruct,Stockfish,?,1785,0-1,72,11,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1. g3 e6 2. Nh3 Bb4 3. f3 Qg5 4. Ng1 Ne7 5. Nh3 Nf5 6. e3 a5 7. Bg2 Kf8 8. Ke2 Bc3 9. b3 Bxd2 10. Qxd2 h6 11.",0.0,False,False,,/app/games/game41920ed0-d6b6-423e-946a-54aa5832a6f1,1. g3 e6 2. Nh3 Bb4 3. f3 Qg5 4. Ng1 Ne7 5. Nh3 Nf5 6. e3 a5 7. Bg2 Kf8 8. Ke2 Bc3 9. b3 Bxd2 10. Qxd2 h6,True
39,gpt-4,RANDOM chess engine,?,?,*,34,1,It is your turn! You have white pieces. Please complete the chess game using PGN notation. 1.,0.0,True,True,Qae8#,/app/games/gamea49150b6-28d8-4c6c-aa11-4ff0c1eea95b,,False
40,gpt-4,Stockfish,?,1785,*,88,1,It is your turn! You have white pieces. Please complete the chess game using PGN notation. 1.,0.0,False,True,Kd2,/app/games/game5755c1cb-cec9-41a5-8544-0f200304b370,,False
41,Stockfish,gpt-4,1871,?,*,145,1,It is your turn! You have white pieces. Please complete the chess game using PGN notation. 1.,0.0,False,True,Kb6,/app/games/gamef50f9f9e-986a-4c9c-a94e-f5cfc8f5d304,,False
42,RANDOM chess engine,gpt-3.5-turbo-instruct,?,?,*,1,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.0,True,True,{[%clk,/app/games/game224fb407-fe30-4221-8820-0b894e9705e3,,True
43,gpt-3.5-turbo-instruct,Stockfish,?,1871,0-1,102,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.0,False,False,,/app/games/gamedf6cd9a3-48b8-4d74-a8d8-4a1a95aa3d88,,True
44,text-davinci-003,Stockfish,?,1694,*,40,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.0,False,True,Rxc8+,/app/games/game46a45eca-8442-4ebe-8604-d9f06ab4c09e,,True
45,Stockfish,gpt-3.5-turbo-instruct,1785,?,0-1,76,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.0,False,False,,/app/games/gamebef02541-95a0-4269-983e-11543e7948ea,,True
46,gpt-3.5-turbo-instruct,Stockfish,?,1871,0-1,116,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.8,False,False,,/app/games/gamec4084507-2972-46e5-aecc-df1d60415c72,,True
47,gpt-3.5-turbo,Stockfish,?,1694,*,64,1,It is your turn! You have white pieces. Please complete the chess game using PGN notation. 1.,0.0,False,True,Bxf6,/app/games/gamebe4015b3-16f0-45ba-bf2d-f66d531974be,,False
48,gpt-3.5-turbo-instruct,RANDOM chess engine,?,?,1-0,27,1,"[Event ""FIDE World Championship Match 2024""]
[Site ""Los Angeles, USA""]
[Date ""2024.12.01""]
[Round ""5""]
[White ""Carlsen, Magnus""]
[Black ""Nepomniachtchi, Ian""]
[Result ""1-0""]
[WhiteElo ""2885""]
[WhiteTitle ""GM""]
[WhiteFideId ""1503014""]
[BlackElo ""2812""]
[BlackTitle ""GM""]
[BlackFideId ""4168119""]
[TimeControl ""40/7200:20/3600:900+30""]
[UTCDate ""2024.11.27""]
[UTCTime ""09:01:25""]
[Variant ""Standard""]

1.",0.0,True,False,,/app/games/game1c863745-2c56-4006-a59e-681362cb2f32,,True
